GUID,Type,Label,Description,Dimension,Resource Type,Specification,Information Element
urn:uuid:39bb2280-1215-447b-9221-fd13bc990641,Amendment,AMENDMENT_DATEIDENTIFIED_STANDARDIZED,The value of dwc:dateIdentified was amended to conform with the ISO 8601:2004(E) date format,,SingleRecord,"Check dwc:dateIdentified to see if it is empty or contains a valid date value. If it contains a value that is not a valid date, propose a properly formatted dateIdentified as an amendment.",dwc:dateIdentified
urn:uuid:367bf43f-9cb6-45b2-b45f-b8152f1d334a,Amendment,Date Modified Format Correction,Try to propose a correction for a date modified,,SingleRecord,"Check dcterms:modified to see if it is empty or contains a valid date value. If it contains a value that is not a valid date, propose a properly formatted dcterms:modified as an amendment.",dcterms:modified
urn:uuid:62a9c256-43e4-41ee-8938-d2d2e99479ef,Validation,Modified date correctly formatted,Test to see whether a provided dcterms:modified is a validly formated ISO date/time.,,SingleRecord,"Compliant if dcterms:modified can to parsed to an explicit date/time, otherwise not compliant. Internal prerequisites not met if dcterms:modified is empty.",dcterms:modified
urn:uuid:dc8aae4b-134f-4d75-8a71-c4186239178e,Validation,VALIDATION_DATEIDENTIFIED_OUTOFRANGE,"The value of dwc:dateIdentified is between 1753-01-01 date and the current date, inclusive",,SingleRecord,"The value of dwc:dateIdentified is between 1753-01-01 date and the current date, inclusive The field dwc:dateIdentified is a valid ISO 8601:2004(E) date.",dwc:dateIdentified
urn:uuid:66269bdd-9271-4e76-b25c-7ab81eebe1d8,Validation,VALIDATION_DATEIDENTIFIED_NOTSTANDARD,The value of dwc:dateIdentified is a valid ISO 8601:2004(E) date,,SingleRecord,The value of dwc:dateIdentified is a valid ISO 8601:2004(E) date The field dwc:dateIdentified is not EMPTY.,dwc:dateIdentified
urn:uuid:391ca46d-3842-4a18-970c-0434cbc17f07,Validation,VALIDATION_DATEIDENTIFIED_PREEVENTDATE,The date specified by dwc:dateIdentified is not entirely earlier than the date specified by dwc:eventDate,,SingleRecord,The date specified by dwc:dateIdentified is not entirely earlier than the date specified by dwc:eventDate The fields dwc:dateIdentified and dwc:eventDate are both interpretable as ISO 8601:2004(E) dates,"dwc:dateIdentified, dwc:eventDate"
